id_contrat,id_periode,annee,mois_num,num_releve,date_releve,date_emission,index_a,conso_reelle,conso_moyenne,type_releve,nature_releve,num_facture,montant,puissance,nom_categorie,ecart_jours
100000,202404,2024,4,R100000-0,2024-04-27,2024-04-30,338219.7,1351.8,1359.9,REEL,PERIODIQUE,F100000-0,39112.0,3,GENERAL,60
100000,202406,2024,6,R100000-1,2024-06-24,2024-06-28,37785.5,942.0,1314.5,REEL,PERIODIQUE,F100000-1,27390.0,3,GENERAL,58
100000,202407,2024,7,R100000-2,2024-07-25,2024-07-28,238767.9,529.1,702.6,REEL,PERIODIQUE,F100000-2,17320.0,3,GENERAL,31
100000,202409,2024,9,R100000-3,2024-09-24,2024-09-28,388174.6,1162.4,1382.5,REEL,PERIODIQUE,F100000-3,38430.0,3,GENERAL,61
100000,202411,2024,11,R100000-4,2024-11-25,2024-11-26,38574.4,1629.7,1405.2,REEL,PERIODIQUE,F100000-4,52270.0,3,GENERAL,62
100000,202501,2025,1,R100000-5,2025-01-26,2025-01-28,66112.9,1716.7,1405.2,REEL,PERIODIQUE,F100000-5,48092.0,3,GENERAL,62
100000,202503,2025,3,R100000-6,2025-03-27,2025-03-30,178205.1,1993.6,1359.9,REEL,PERIODIQUE,F100000-6,67562.0,3,GENERAL,60
100000,202505,2025,5,R100000-7,2025-05-24,2025-05-24,5046.8,850.3,1314.5,REEL,REBRANCHE,F100000-7,26364.0,3,GENERAL,58
100000,202507,2025,7,R100000-8,2025-07-21,2025-07-23,428533.0,1713.3,1314.5,ESTIME,PERIODIQUE,F100000-8,48421.0,3,GENERAL,58
100000,202509,2025,9,R100000-9,2025-09-17,2025-09-17,203577.1,2174.0,1314.5,REEL,REBRANCHE,F100000-9,67778.0,3,GENERAL,58
100001,202403,2024,3,R100001-0,2024-03-09,2024-03-11,304315.9,279.1,263.3,REEL,PERIODIQUE,F100001-0,8714.0,3,DOMESTIQUE SOCIAL 1,58
100001,202405,2024,5,R100001-1,2024-05-10,2024-05-11,9166.0,274.8,281.5,REEL,PERIODIQUE,F100001-1,8224.0,3,DOMESTIQUE SOCIAL 1,62
100001,202407,2024,7,R100001-2,2024-07-10,2024-07-12,106455.3,295.8,276.9,REEL,PERIODIQUE,F100001-2,8558.0,3,DOMESTIQUE SOCIAL 1,61
100001,202408,2024,8,R100001-3,2024-08-07,2024-08-11,374760.0,115.1,127.1,REEL,PERIODIQUE,F100001-3,3358.0,3,DOMESTIQUE SOCIAL 1,28
100001,202410,2024,10,R100001-4,2024-10-06,2024-10-08,248736.9,253.4,272.4,REEL,PERIODIQUE,F100001-4,8353.0,3,DOMESTIQUE SOCIAL 1,60
100001,202412,2024,12,R100001-5,2024-12-05,2024-12-07,496437.3,335.7,272.4,REEL,PERIODIQUE,F100001-5,11102.0,3,DOMESTIQUE SOCIAL 1,60
100001,202502,2025,2,R100001-6,2025-02-04,2025-02-07,118888.6,384.9,276.9,REEL,PERIODIQUE,F100001-6,12026.0,3,DOMESTIQUE SOCIAL 1,61
100001,202504,2025,4,R100001-7,2025-04-05,2025-04-08,75604.6,298.2,272.4,REEL,PERIODIQUE,F100001-7,8721.0,3,DOMESTIQUE SOCIAL 1,60
100001,202507,2025,7,R100001-8,2025-07-04,2025-07-04,250083.0,543.3,408.6,REEL,PERIODIQUE,F100001-8,15661.0,3,DOMESTIQUE SOCIAL 1,90
100001,202508,2025,8,R100001-9,2025-08-31,2025-08-31,289326.7,303.2,263.3,REEL,PERIODIQUE,F100001-9,9053.0,3,DOMESTIQUE SOCIAL 1,58
100001,202510,2025,10,R100001-10,2025-10-31,2025-11-04,196839.0,212.2,276.9,REEL,PERIODIQUE,F100001-10,6947.0,3,DOMESTIQUE SOCIAL 1,61
100001,202512,2025,12,R100001-11,2025-12-30,2026-01-03,101605.7,218.0,272.4,REEL,REBRANCHE,F100001-11,6642.0,3,DOMESTIQUE SOCIAL 1,60
100001,202602,2026,2,R100001-12,2026-02-26,2026-03-01,144976.7,245.6,263.3,REEL,PERIODIQUE,F100001-12,7070.0,3,DOMESTIQUE SOCIAL 1,58
100001,202604,2026,4,R100001-13,2026-04-25,2026-04-27,407257.6,193.0,263.3,REEL,PERIODIQUE,F100001-13,5452.0,3,DOMESTIQUE SOCIAL 1,58
100001,202606,2026,6,R100001-14,2026-06-26,2026-06-27,384553.3,213.5,281.5,REEL,PERIODIQUE,F100001-14,7128.0,3,DOMESTIQUE SOCIAL 1,62
100001,202608,2026,8,R100001-15,2026-08-23,2026-08-25,247557.3,172.4,263.3,ESTIME,PERIODIQUE,F100001-15,5256.0,3,DOMESTIQUE SOCIAL 1,58
100001,202610,2026,10,R100001-16,2026-10-22,2026-10-25,212040.8,229.3,272.4,REEL,PERIODIQUE,F100001-16,6451.0,3,DOMESTIQUE SOCIAL 1,60
100002,202403,2024,3,R100002-0,2024-03-17,2024-03-17,323503.8,1167.7,1486.1,REEL,PERIODIQUE,F100002-0,33963.0,3,DOMESTIQUE,62
100002,202404,2024,4,R100002-1,2024-04-17,2024-04-18,407180.9,712.0,743.0,REEL,PERIODIQUE,F100002-1,20674.0,3,DOMESTIQUE,31
100002,202406,2024,6,R100002-2,2024-06-18,2024-06-22,45515.9,1636.3,1486.1,REEL,PERIODIQUE,F100002-2,47190.0,3,DOMESTIQUE,62
100002,202408,2024,8,R100002-3,2024-08-17,2024-08-20,407243.5,2154.0,1438.1,REEL,PERIODIQUE,F100002-3,62167.0,3,DOMESTIQUE,60
100002,202409,2024,9,R100002-4,2024-09-17,2024-09-18,160178.3,598.8,743.0,REEL,PERIODIQUE,F100002-4,18184.0,3,DOMESTIQUE,31
100002,202411,2024,11,R100002-5,2024-11-16,2024-11-16,264476.4,852.7,1438.1,REEL,PERIODIQUE,F100002-5,25075.0,3,DOMESTIQUE,60
100002,202501,2025,1,R100002-6,2025-01-13,2025-01-13,178435.3,2727.9,1390.2,REEL,PERIODIQUE,F100002-6,92485.0,3,DOMESTIQUE,58
100002,202502,2025,2,R100002-7,2025-02-10,2025-02-12,270396.8,538.8,671.1,REEL,PERIODIQUE,F100002-7,16701.0,3,DOMESTIQUE,28
